keys,en,fr
"Fresh saw marks on a fallen log — cutting here is not allowed. The wood may have been cut by furniture, energy or paper company.","Fresh saw marks on a fallen log — cutting here is not allowed. The wood may have been destined for furniture.","Des marques de scie fraîches sur une bille — couper ici est interdit. Ce bois a pu être coupée par une entreprise de meuble, d'énergie ou de papier."
"Illegal cut on protected ground. Timber like this often feeds the energy industry — pellets, fuel, biomass.","Illegal cut on protected ground. Timber like this often feeds the energy industry — pellets, fuel, biomass.","Coupe illégale sur un terrain protégé. Un tel bois alimente souvent l'industrie de l'énergie — granulés, combustible, biomasse."
"Someone took timber they had no right to. Paper mills and pulp demand still pull trees from places like this.","Someone took timber they had no right to. Paper mills and pulp demand still pull trees from places like this.","Quelqu'un a pris du bois sans droit. Les papeteries et la demande de pâte à papier arrachent encore des arbres à des lieux comme celui-ci."
"A hidden snare near the fence. Traps wound and kill without choosing carefully — native animals walk these paths too.","A hidden snare near the fence. Traps wound and kill without choosing carefully — native animals walk these paths too.","Un collet caché près de la clôture. Les pièges blessent et tuent sans choisir — les animaux natifs empruntent aussi ces chemins."
"Wire and bait tucked by the trees. Illegal traps wound more than they feed.","Wire and bait tucked by the trees. Illegal traps wound more than they feed.","Fil et appât glissés près des arbres. Les pièges illégaux blessent plus qu'ils ne nourrissent."
"A trap left along the barrier line. Unlike a legal hunt, what dies here is often left where it falls.","A trap left along the barrier line. Unlike a legal hunt, what dies here is often left where it falls.","Un piège laissé le long de la barrière. Contrairement à une chasse légale, ce qui meurt ici est souvent abandonné sur place."
"This animal carries an old injury — likely from a trap or a glancing shot. Hunting and traps leave survivors marked.","This animal carries an old injury — likely from a trap or a glancing shot. Hunting and traps leave survivors marked.","Cet animal porte une vieille blessure — probablement un piège ou un tir. Chasse et pièges marquent aussi les survivants."
"Limping, wary, still alive. A clean hunt rarely leaves animals behind; wounds like this often come from traps.","Limping, wary, still alive. A clean hunt rarely leaves animals behind; wounds like this often come from traps.","Boitant, méfiant, encore vivant. Une chasse propre emporte rarement ses proies ; ce genre de blessure vient souvent des pièges."
"A wound that never healed cleanly. This is a native animal, not an invasive species — and still a target.","A wound that never healed cleanly. This is a native animal, not an invasive species — and still a target.","Une blessure mal cicatrisée. C'est un animal natif, pas une espèce invasive — et pourtant une cible."
"Cards","Cards","Cartes"
"%d cards found","%d cards found","%d cartes trouvées"
"No cards yet — inspect the parcel","No cards yet — inspect the parcel","Pas encore de cartes — inspectez la parcelle"
"Journal","Journal","Journal"
"%d journal entries","%d journal entries","%d entrées du journal"
"No journal entries yet","No journal entries yet","Pas encore d'entrées dans le journal"
"Click to center on location","Click to center on location","Cliquer pour centrer sur le lieu"
"Autonomous","Autonomous","Autonome"
"%s found berries","%s found berries","%s a trouvé des baies"
"%s found a dead bird","%s found a dead bird","%s a trouvé un oiseau mort"
"%s found a dead beaver","%s found a dead beaver","%s a trouvé un castor mort"
"%s found a forbidden cut","%s found a forbidden cut","%s a trouvé une coupe interdite"
"%s found an animal trap","%s found an animal trap","%s a trouvé un piège"
"%s found a wounded animal","%s found a wounded animal","%s a trouvé un animal blessé"
"%s found bird's nest remnants","%s found bird's nest remnants","%s a trouvé des restes de nid d'oiseau"
"%s found dried ground","%s found dried ground","%s a trouvé un sol desséché"
"%s found evidence","%s found evidence","%s a trouvé une preuve"
"%s contacted an NGO","%s contacted an NGO","%s a contacté une ONG"
"%s wrote an article","%s wrote an article","%s a écrit un article"
"%s checked the bird's status in the region","%s checked the bird's status in the region","%s a vérifié le statut de l'oiseau dans la région"
"%s measured the drought in the soil","%s measured the drought in the soil","%s a mesuré la sécheresse du sol"
"Solve","Solve","Résoudre"
"%d untreated events","%d untreated events","%d événements non traités"
"No untreated events","No untreated events","Aucun événement non traité"
"No untreated events the team can solve","No untreated events the team can solve","Aucun événement que l'équipe puisse traiter"
"%d events treated · %d actions","%d events treated · %d actions","%d événements traités · %d actions"
"Card: Berries","Card: Berries","Carte : Baies"
"Card: Bird's nest remnants","Card: Bird's nest remnants","Carte : Restes de nid d'oiseau"
"Card: Dried ground","Card: Dried ground","Carte : Sol desséché"
"Card: Fishing line","Card: Fishing line","Carte : Fil de pêche"
"Someone forgot this fishing line. Monofilament doesn't disappear — it can become a trap for animals.","Someone forgot this fishing line. Monofilament doesn't disappear — it can become a trap for animals.","Quelqu'un a oublié ce fil de pêche. Le monofilament ne disparaît pas — il peut devenir un piège pour les animaux."
"A tangle of clear line snagged near the water. Invisible once wet, it still cuts wings, fins, and feet for years.","A tangle of clear line snagged near the water. Invisible once wet, it still cuts wings, fins, and feet for years.","Un enchevêtrement de fil transparent accroché près de l'eau. Invisible une fois mouillé, il coupe encore ailes, nageoires et pattes pendant des années."
"Discarded monofilament on the bank. It never truly goes away, and wildlife that swims or drinks here can die in it.","Discarded monofilament on the bank. It never truly goes away, and wildlife that swims or drinks here can die in it.","Du monofilament abandonné sur la berge. Il ne disparaît jamais vraiment, et la faune qui nage ou boit ici peut y mourir."
"%s found discarded fishing line","%s found discarded fishing line","%s a trouvé un fil de pêche abandonné"
"Card: Leftover food","Card: Leftover food","Carte : Restes de nourriture"
"Scraps left on the ground. Animals that learn to associate humans with food may become bold — and bold animals are often euthanized.","Scraps left on the ground. Animals that learn to associate humans with food may become bold — and bold animals are often euthanized.","Des restes abandonnés au sol. Les animaux qui associent les humains à la nourriture deviennent hardis — et les animaux hardis sont souvent euthanasiés."
"A half-eaten meal abandoned in the grass. Once wildlife expects handouts, conflict follows, and managers may kill the animals that approach people.","A half-eaten meal abandoned in the grass. Once wildlife expects handouts, conflict follows, and managers may kill the animals that approach people.","Un repas à moitié mangé abandonné dans l'herbe. Quand la faune attend des restes, le conflit suit, et les gestionnaires peuvent tuer les animaux qui s'approchent des gens."
"Food waste where someone sat and left. Teaching animals that humans mean easy meals can cost them their lives.","Food waste where someone sat and left. Teaching animals that humans mean easy meals can cost them their lives.","Des déchets alimentaires là où quelqu'un s'est assis puis est parti. Apprendre aux animaux que les humains signifient un repas facile peut leur coûter la vie."
"%s found leftover food","%s found leftover food","%s a trouvé des restes de nourriture"
"Cracked earth under a clear sky. Climate change may have an impact here, but it's nothing compared to countries of the South.","Cracked earth under a clear sky. Climate change may have an impact here, but it's nothing compared to countries of the South.","De la terre craquelée sous un ciel clair. Le changement climatique peut avoir un impact ici, mais ce n'est rien comparé aux pays du Sud."
"The soil has split from drought. What we see here is a mild warning — southern countries already live with far worse.","The soil has split from drought. What we see here is a mild warning — southern countries already live with far worse.","Le sol s'est fendu sous la sécheresse. Ce que l'on voit ici n'est qu'un léger avertissement — les pays du Sud vivent déjà bien pire."
"Parched ground where grass used to hold. Climate pressure shows, yet the burden falls hardest on the South.","Parched ground where grass used to hold. Climate pressure shows, yet the burden falls hardest on the South.","Un sol brûlé là où l'herbe tenait. La pression climatique se voit, mais le fardeau pèse surtout sur le Sud."
"Twigs and feathers beside a cut log — a nest torn down with the tree. Cutting where a protected bird species nests is forbidden.","Twigs and feathers beside a cut log — a nest torn down with the tree. Cutting where a protected bird species nests is forbidden.","Branchettes et plumes près d'une bille — un nid abattu avec l'arbre. Couper là où niche une espèce d'oiseau protégée est interdit."
"Nest scraps in the sawdust. Protected birds bred here; felling these trees breaks the law that guards them.","Nest scraps in the sawdust. Protected birds bred here; felling these trees breaks the law that guards them.","Des restes de nid dans la sciure. Des oiseaux protégés nichaient ici ; abattre ces arbres enfreint la loi qui les protège."
"What's left of a nest after the cut. Trees hosting protected bird species must not be cut — this one was.","What's left of a nest after the cut. Trees hosting protected bird species must not be cut — this one was.","Ce qu'il reste d'un nid après la coupe. Les arbres abritant des espèces d'oiseaux protégées ne doivent pas être abattus — celui-ci l'a été."
"A handful of wild berries from the undergrowth. Sweet, tart, and shared among the crew.","A handful of wild berries from the undergrowth. Sweet, tart, and shared among the crew.","Une poignée de baies sauvages sous les sous-bois. Sucrées, acidulées, partagées avec l'équipe."
"Foraged fruit from the parcel. Small rewards like these keep spirits up on a long walk.","Foraged fruit from the parcel. Small rewards like these keep spirits up on a long walk.","Des fruits cueillis sur la parcelle. De petites récompenses comme celles-ci remontent le moral."
"Ripe berries tucked along the trail — free food the forest still offers freely.","Ripe berries tucked along the trail — free food the forest still offers freely.","Des baies mûres le long du sentier — une nourriture que la forêt offre encore librement."
"%s found a dandelion","%s found a dandelion","%s a trouvé un pissenlit"
"%s found nettle","%s found nettle","%s a trouvé de l'ortie"
"%s found ribwort plantain","%s found ribwort plantain","%s a trouvé du plantain lancéolé"
"%s found clover","%s found clover","%s a trouvé du trèfle"
"%s found a primrose","%s found a primrose","%s a trouvé une primevère"
"%s found white deadnettle","%s found white deadnettle","%s a trouvé du lamier blanc"
"%s found yarrow","%s found yarrow","%s a trouvé de l'achillée"
"Card: Dandelion","Card: Dandelion","Carte : Pissenlit"
"Card: Nettle","Card: Nettle","Carte : Ortie"
"Card: Ribwort plantain","Card: Ribwort plantain","Carte : Plantain lancéolé"
"Card: Clover","Card: Clover","Carte : Trèfle"
"Card: Primrose","Card: Primrose","Carte : Primevère"
"Card: White deadnettle","Card: White deadnettle","Carte : Lamier blanc"
"Card: Yarrow","Card: Yarrow","Carte : Achillée"
"A bright yellow head in the grass — every part edible if you know it. Leaves bitter, roots roasted, clocks of seed waiting on the wind.","A bright yellow head in the grass — every part edible if you know it. Leaves bitter, roots roasted, clocks of seed waiting on the wind.","Une tête jaune vif dans l'herbe — chaque partie est comestible si on la connaît. Feuilles amères, racines torréfiées, horloges de graines prêtes au vent."
"Dandelion punches through compacted soil. What some call a weed is a first meal for bees and a free salad for those who look.","Dandelion punches through compacted soil. What some call a weed is a first meal for bees and a free salad for those who look.","Le pissenlit perce le sol tassé. Ce que certains appellent une mauvaise herbe est un premier repas pour les abeilles et une salade libre pour qui regarde."
"Lion's tooth leaves and a hollow stem of milky sap. A common plant, and still a lesson: the parcel feeds more than timber.","Lion's tooth leaves and a hollow stem of milky sap. A common plant, and still a lesson: the parcel feeds more than timber.","Feuilles en dents de lion et tige creuse au latex. Une plante banale, et pourtant une leçon : la parcelle nourrit plus que le bois."
"Stinging hairs guard soft green leaves. Gloves or a careful pinch, then soup, tea, or fibre — nettle gives back what it takes.","Stinging hairs guard soft green leaves. Gloves or a careful pinch, then soup, tea, or fibre — nettle gives back what it takes.","Des poils urticants gardent des feuilles tendres. Gants ou pincée prudente, puis soupe, tisane ou fibre — l'ortie rend ce qu'elle prend."
"A patch of nettle means rich soil and butterflies nearby. The sting fades; the broth stays warm on a cold evening.","A patch of nettle means rich soil and butterflies nearby. The sting fades; the broth stays warm on a cold evening.","Un massif d'ortie signale un sol riche et des papillons proches. La piqûre passe ; le bouillon réchauffe les soirées froides."
"Young shoots in spring are tender; older stalks toughen into cord. The botanist notes both the hazard and the gift.","Young shoots in spring are tender; older stalks toughen into cord. The botanist notes both the hazard and the gift.","Les jeunes pousses du printemps sont tendres ; les tiges âgées deviennent corde. Le botaniste note le danger et le don."
"Ribbed leaves in a low rosette, a slender spike of seeds. Folk pressed them on cuts; the veins still run clear under the thumb.","Ribbed leaves in a low rosette, a slender spike of seeds. Folk pressed them on cuts; the veins still run clear under the thumb.","Feuilles côtelées en rosette basse, fine tige de graines. On les pressait jadis sur les coupures ; les nervures restent nettes sous le pouce."
"Plantain hugs paths and camp clearings. Where feet pass, this quiet green follows — a roadside healer in plain sight.","Plantain hugs paths and camp clearings. Where feet pass, this quiet green follows — a roadside healer in plain sight.","Le plantain longe les sentiers et les clairières. Où passent les pieds, ce vert discret suit — un guérisseur de bord de route à vue d'œil."
"Not the banana kind. Narrow leaves, parallel ribs, and a story of poultice and patience written in every leaf.","Not the banana kind. Narrow leaves, parallel ribs, and a story of poultice and patience written in every leaf.","Pas celui des bananes. Feuilles étroites, nervures parallèles, et une histoire de cataplasme et de patience sur chaque feuille."
"Trifoliate leaves carpet the meadow. Roots fix nitrogen; flowers feed bees. Luck is optional — ecology is not.","Trifoliate leaves carpet the meadow. Roots fix nitrogen; flowers feed bees. Luck is optional — ecology is not.","Des feuilles trifoliées tapissent la prairie. Les racines fixent l'azote ; les fleurs nourrissent les abeilles. La chance est optionnelle — l'écologie ne l'est pas."
"Pink or white heads nod in the breeze. Clover knits soil together and invites pollinators back after the cut.","Pink or white heads nod in the breeze. Clover knits soil together and invites pollinators back after the cut.","Têtes roses ou blanches qui penchent au vent. Le trèfle lie le sol et rappelle les pollinisateurs après la coupe."
"A soft carpet underfoot. Farmers once sowed it on purpose; here it volunteers where the ground still breathes.","A soft carpet underfoot. Farmers once sowed it on purpose; here it volunteers where the ground still breathes.","Un tapis doux sous les pieds. Les fermiers le semaient autrefois ; ici il pousse seul où le sol respire encore."
"Pale petals at the wood's edge — first colour after winter. Primrose marks damp banks and patient springs.","Pale petals at the wood's edge — first colour after winter. Primrose marks damp banks and patient springs.","Pétales pâles en lisière — première couleur après l'hiver. La primevère marque les berges humides et les printemps patients."
"A soft yellow cluster low to the ground. Old songs named it for early bloom; the botanist names the habitat it prefers.","A soft yellow cluster low to the ground. Old songs named it for early bloom; the botanist names the habitat it prefers.","Une touffe jaune douce au ras du sol. Les vieilles chansons la nommaient pour sa fleur précoce ; le botaniste nomme l'habitat qu'elle préfère."
"Leaves in a gentle rosette, flowers like a quiet lantern. Where primrose thrives, the understory still has room to speak.","Leaves in a gentle rosette, flowers like a quiet lantern. Where primrose thrives, the understory still has room to speak.","Feuilles en douce rosette, fleurs comme une lanterne discrète. Où la primevère prospère, le sous-bois a encore place pour parler."
"Looks like nettle, stings like nothing. White hooded flowers hide nectar for long-tongued bees — a mimic without the bite.","Looks like nettle, stings like nothing. White hooded flowers hide nectar for long-tongued bees — a mimic without the bite.","Ressemble à l'ortie, ne pique pas. Fleurs blanches en capuchon cachent le nectar des abeilles à longue langue — un mimétisme sans morsure."
"Square stem, soft leaves, no sting. Deadnettle teaches looking twice: resemblance is not identity.","Square stem, soft leaves, no sting. Deadnettle teaches looking twice: resemblance is not identity.","Tige carrée, feuilles douces, pas de piqûre. Le lamier enseigne à regarder deux fois : la ressemblance n'est pas l'identité."
"A white bloom in the verge. Children once sucked the sweet base of each flower; the botanist counts the visitors instead.","A white bloom in the verge. Children once sucked the sweet base of each flower; the botanist counts the visitors instead.","Une fleur blanche au bord du chemin. Les enfants suçaient jadis la base sucrée de chaque fleur ; le botaniste compte plutôt les visiteurs."
"Feathery leaves and a flat cluster of tiny flowers. Achilles' herb — named for wounds, used for centuries along trails.","Feathery leaves and a flat cluster of tiny flowers. Achilles' herb — named for wounds, used for centuries along trails.","Feuilles plumeuses et ombelle plate de petites fleurs. L'herbe d'Achille — nommée pour les blessures, utilisée des siècles le long des sentiers."
"Yarrow holds dry banks and meadow edges. Aromatic, tough, and always ready with a story of field medicine.","Yarrow holds dry banks and meadow edges. Aromatic, tough, and always ready with a story of field medicine.","L'achillée tient les berges sèches et les lisières de prairie. Aromatique, robuste, toujours prête avec une histoire de médecine de terrain."
"White or pink umbels above fern-like foliage. Soldiers and shepherds knew it; the parcel still grows it without asking.","White or pink umbels above fern-like foliage. Soldiers and shepherds knew it; the parcel still grows it without asking.","Ombelles blanches ou roses au-dessus d'un feuillage de fougère. Soldats et bergers la connaissaient ; la parcelle la fait encore pousser sans demander."
"%s spotted a European robin","%s spotted a European robin","%s a observé un rouge-gorge familier"
"%s spotted a common blackbird","%s spotted a common blackbird","%s a observé un merle noir"
"%s spotted a great tit","%s spotted a great tit","%s a observé une mésange charbonnière"
"%s spotted a blue tit","%s spotted a blue tit","%s a observé une mésange bleue"
"%s spotted a wood pigeon","%s spotted a wood pigeon","%s a observé un pigeon ramier"
"%s spotted a Eurasian jay","%s spotted a Eurasian jay","%s a observé un geai des chênes"
"%s spotted a song thrush","%s spotted a song thrush","%s a observé une grive musicienne"
"%s spotted a blackcap","%s spotted a blackcap","%s a observé une fauvette à tête noire"
"%s spotted a green woodpecker","%s spotted a green woodpecker","%s a observé un pic vert"
"Card: European robin","Card: European robin","Carte : Rouge-gorge familier"
"Card: Common blackbird","Card: Common blackbird","Carte : Merle noir"
"Card: Great tit","Card: Great tit","Carte : Mésange charbonnière"
"Card: Blue tit","Card: Blue tit","Carte : Mésange bleue"
"Card: Wood pigeon","Card: Wood pigeon","Carte : Pigeon ramier"
"Card: Eurasian jay","Card: Eurasian jay","Carte : Geai des chênes"
"Card: Song thrush","Card: Song thrush","Carte : Grive musicienne"
"Card: Blackcap","Card: Blackcap","Carte : Fauvette à tête noire"
"Card: Green woodpecker","Card: Green woodpecker","Carte : Pic vert"
"A flash of orange breast on a low branch. Robins follow diggers and campers alike — bold, territorial, never far from cover.","A flash of orange breast on a low branch. Robins follow diggers and campers alike — bold, territorial, never far from cover.","Un flash de poitrine orange sur une branche basse. Les rouges-gorges suivent bêches et campeurs — hardis, territoriaux, jamais loin du couvert."
"Thin song from the understory. The robin holds a winter territory too; this parcel is claimed year-round.","Thin song from the understory. The robin holds a winter territory too; this parcel is claimed year-round.","Un chant fin depuis le sous-bois. Le rouge-gorge tient aussi un territoire d'hiver ; cette parcelle est revendiquée toute l'année."
"Perched close, unafraid. A European robin treats people as noisy wild boars that turn soil — and that is a compliment.","Perched close, unafraid. A European robin treats people as noisy wild boars that turn soil — and that is a compliment.","Posé tout près, sans peur. Un rouge-gorge traite les humains comme de bruyants sangliers qui retournent la terre — et c'est un compliment."
"A black cock with a yellow bill turns leaf litter. Blackbirds own the dawn chorus here when the wood still breathes.","A black cock with a yellow bill turns leaf litter. Blackbirds own the dawn chorus here when the wood still breathes.","Un mâle noir au bec jaune fouille la litière. Les merles tiennent le chœur de l'aube ici tant que le bois respire."
"Fluting phrases from a high perch. The common blackbird sings as if the cut never came — then drops to feed on the edge.","Fluting phrases from a high perch. The common blackbird sings as if the cut never came — then drops to feed on the edge.","Des phrases flûtées depuis un haut perchoir. Le merle noir chante comme si la coupe n'avait jamais eu lieu — puis descend se nourrir en lisière."
"A female in brown slips through the brambles. Same species, quieter coat; both know every worm under this soil.","A female in brown slips through the brambles. Same species, quieter coat; both know every worm under this soil.","Une femelle brune glisse dans les ronces. Même espèce, livrée plus discrète ; tous deux connaissent chaque ver sous ce sol."
"Black cap, white cheeks, yellow belly — a great tit scolds from the oak. The loudest small voice in the canopy.","Black cap, white cheeks, yellow belly — a great tit scolds from the oak. The loudest small voice in the canopy.","Calotte noire, joues blanches, ventre jaune — une charbonnière gronde depuis le chêne. La plus forte petite voix de la canopée."
"Tee-cher, tee-cher from the crown. Great tits invent new calls; this one has already named the camp.","Tee-cher, tee-cher from the crown. Great tits invent new calls; this one has already named the camp.","Tee-cher, tee-cher depuis la cime. Les mésanges charbonnières inventent des cris ; celle-ci a déjà nommé le camp."
"A bold acrobat among the twigs. Where insects hide under bark, the great tit finds breakfast first.","A bold acrobat among the twigs. Where insects hide under bark, the great tit finds breakfast first.","Une acrobate hardie parmi les brindilles. Là où les insectes se cachent sous l'écorce, la charbonnière trouve le petit-déjeuner en premier."
"A blue crown and a yellow vest hang upside-down on a twig. Blue tits empty caterpillar nests one leaf at a time.","A blue crown and a yellow vest hang upside-down on a twig. Blue tits empty caterpillar nests one leaf at a time.","Une couronne bleue et un gilet jaune pendus la tête en bas. Les mésanges bleues vident les nids de chenilles feuille par feuille."
"High, thin calls stitch the canopy together. A blue tit pair may raise a dozen chicks when the oaks leaf out right.","High, thin calls stitch the canopy together. A blue tit pair may raise a dozen chicks when the oaks leaf out right.","Des cris aigus et fins cousent la canopée. Un couple de mésanges bleues peut élever une douzaine de poussins quand les chênes feuillent juste."
"Tiny, restless, electric blue. Blue tits prefer cavities and old wood — another reason standing trees still matter.","Tiny, restless, electric blue. Blue tits prefer cavities and old wood — another reason standing trees still matter.","Minuscule, agitée, bleu électrique. Les mésanges bleues préfèrent cavités et vieux bois — une raison de plus pour les arbres debout."
"A heavy clap of wings from the canopy — wood pigeon leaving late. White neck patches flash like signals in the green.","A heavy clap of wings from the canopy — wood pigeon leaving late. White neck patches flash like signals in the green.","Un lourd claquement d'ailes depuis la canopée — pigeon ramier qui part trop tard. Les taches blanches du cou clignotent dans le vert."
"Coo-COO-coo, coo-coo from deep cover. Wood pigeons eat buds, grain, and mast; a full belly keeps them circling the parcel.","Coo-COO-coo, coo-coo from deep cover. Wood pigeons eat buds, grain, and mast; a full belly keeps them circling the parcel.","Rou-ROU-rou, rou-rou depuis le couvert. Les pigeons ramiers mangent bourgeons, grains et glands ; le ventre plein les fait tourner sur la parcelle."
"Large, soft grey, always watching. When the wood pigeon flushes, half the forest knows something moved.","Large, soft grey, always watching. When the wood pigeon flushes, half the forest knows something moved.","Grand, gris doux, toujours aux aguets. Quand le ramier s'envole, la moitié de la forêt sait que quelque chose a bougé."
"A harsh scream and a blue wing-flash — jay on watch. They bury acorns and forget just enough to plant the next oaks.","A harsh scream and a blue wing-flash — jay on watch. They bury acorns and forget just enough to plant the next oaks.","Un cri rauque et un flash d'aile bleue — geai en faction. Ils enterrent des glands et en oublient assez pour planter les chênes suivants."
"Pink-brown body, bold black moustache. The Eurasian jay is the forest's alarm: one call and every deer freezes.","Pink-brown body, bold black moustache. The Eurasian jay is the forest's alarm: one call and every deer freezes.","Corps rose-brun, forte moustache noire. Le geai des chênes est l'alarme de la forêt : un cri et chaque cerf se fige."
"Hiding nuts along the ridge. Jays reshape woods one forgotten acorn at a time; this ridge may owe them trees.","Hiding nuts along the ridge. Jays reshape woods one forgotten acorn at a time; this ridge may owe them trees.","Ils cachent des noix le long de la crête. Les geais refaçonnent les bois un gland oublié à la fois ; cette crête leur doit peut-être des arbres."
"Phrases repeated two or three times from a high song-post. The song thrush writes the same line until the wood learns it.","Phrases repeated two or three times from a high song-post. The song thrush writes the same line until the wood learns it.","Des phrases répétées deux ou trois fois depuis un haut poste de chant. La grive musicienne écrit la même ligne jusqu'à ce que le bois l'apprenne."
"Spotted breast among the leaf litter, hunting snails. An anvil stone nearby still holds broken shells from last week.","Spotted breast among the leaf litter, hunting snails. An anvil stone nearby still holds broken shells from last week.","Poitrine tachetée dans la litière, à la chasse aux escargots. Une pierre-enclume proche garde encore les coquilles brisées de la semaine."
"Clear, loud, methodical. Where blackbirds flute, the song thrush drills — and the parcel answers in echo.","Clear, loud, methodical. Where blackbirds flute, the song thrush drills — and the parcel answers in echo.","Clair, fort, méthodique. Là où les merles flûtent, la grive musicienne martèle — et la parcelle répond en écho."
"A neat black cap and a rich warble from dense scrub. Blackcaps favour thickets the cut has not yet opened.","A neat black cap and a rich warble from dense scrub. Blackcaps favour thickets the cut has not yet opened.","Une calotte noire nette et un riche gazouillis depuis le fourré. Les fauvettes à tête noire aiment les fourrés que la coupe n'a pas encore ouverts."
"Often called the northern nightingale. This blackcap's song pours from cover without ever showing the singer.","Often called the northern nightingale. This blackcap's song pours from cover without ever showing the singer.","Souvent appelée le rossignol du Nord. Le chant de cette fauvette coule du couvert sans jamais montrer le chanteur."
"Grey body, jet crown, restless in the hedge. Migrants and residents share these lanes when berries still hang.","Grey body, jet crown, restless in the hedge. Migrants and residents share these lanes when berries still hang.","Corps gris, couronne de jais, agitée dans la haie. Migrateurs et sédentaires partagent ces allées tant que les baies pendent."
"A laughing call rolls across the clearing — yaffle on the move. Green woodpeckers hunt ants on the ground more than bark.","A laughing call rolls across the clearing — yaffle on the move. Green woodpeckers hunt ants on the ground more than bark.","Un rire roule sur la clairière — le pic vert en route. Les pics verts chassent les fourmis au sol plus que sur l'écorce."
